"","HOUR","ID","SITE","DayNum","DATE","TIME","BEG","Date_Banded","Colony_Site_Banded","count","date.diff"
"267",11,"DB-P35","PHH",33,2015-08-25,"11:07",0,2015-06-26,"GGNY",93,60
"268",11,"RD-V03","PWE",42,2015-09-03,"11:22",9,2015-06-24,"SNME",93,71
"269",11,"DB-F24","CNB",27,2015-08-19,"11:41",8,2015-06-25,"MYMA",93,55
"271",11,"DB-X31","CNB",27,2015-08-19,"11:17",0,2015-06-24,"GGNY",93,56
"272",11,"DB-W58","PWE",44,2015-09-05,"11:31",1,2015-06-27,"GGNY",93,70
"273",11,"DB-U47","PWE",42,2015-09-03,"11:50",0,2015-06-30,"GGNY",93,65
"274",11,"RD-S55","PWE",42,2015-09-03,"11:57",0,2015-06-24,"SYNH",93,71
"275",11,"RD-J00","PHH",33,2015-08-25,"11:39",0,2015-06-25,"JYME",93,61
"276",11,"DB-S91","CNB",45,2015-09-06,"11:43",4,2015-06-30,"GGNY",93,68
"277",11,"DB-W82","PHH",33,2015-08-25,"11:36",0,2015-06-29,"GGNY",93,57
"278",11,"RD-U66","PHH",33,2015-08-25,"11:54",2,2015-06-27,"EEME",93,59
"279",11,"DB-P44","PHH",33,2015-08-25,"11:01",7,2015-06-26,"GGNY",93,60
"280",11,"DB-L29","CNB",9,2015-08-01,"11:30",0,2015-06-18,"GGNY",93,44
"281",11,"YL-E08","PRPN",0,2015-07-23,"11:11",0,2015-07-01,"SYNH",93,22
"282",11,"DB-W40","PWE",42,2015-09-03,"11:09",0,2015-06-30,"GGNY",93,65
"283",11,"DB-P13","PHH",33,2015-08-25,"11:27",0,2015-06-25,"GGNY",93,61
"284",11,"DB-R78","CNB",9,2015-08-01,"11:44",0,2015-06-26,"GGNY",93,36
"285",11,"RD-S70","PRPN",16,2015-08-08,"11:18",0,2015-06-25,"SYNH",93,44
"286",11,"DB-R59","PWE",42,2015-09-03,"11:39",0,2015-06-25,"GGNY",93,70
"287",11,"RD-S69","PRPN",16,2015-08-08,"11:11",0,2015-06-24,"SYNH",93,45
