,ID,DayNum,DATE,Date_Banded,date.diff
494,RD-J00,37,8/29/2015,6/25/2015,65
495,RD-W57,21,8/13/2015,6/20/2015,54
496,DB-Y20,14,8/6/2015,6/16/2015,51
497,YL-E14,21,8/13/2015,7/17/2015,27
498,DB-R11,40,9/1/2015,6/23/2015,70
499,DB-U72,24,8/16/2015,7/1/2015,46
500,DB-Z52,24,8/16/2015,7/3/2015,44
501,RD-V03,37,8/29/2015,6/24/2015,66
502,DB-Y52,37,8/29/2015,6/23/2015,67
503,RD-S06,2,7/25/2014,6/27/2014,28
504,DB-R61,37,8/29/2015,6/25/2015,65
505,DB-Y54,24,8/16/2015,6/23/2015,54
506,RD-X38,37,8/29/2015,7/5/2015,55
507,RD-U46,37,8/29/2015,6/25/2015,65
508,RD-U91,14,8/6/2015,6/29/2015,38
509,RD-L12,21,8/13/2015,7/10/2015,34
510,DB-L76,2,7/25/2015,6/19/2015,36
511,DB-R37,28,8/20/2015,6/25/2015,56
512,RD-V23,5,7/28/2015,6/25/2015,33
513,RD-U28,28,8/20/2015,6/22/2015,59
514,DB-R13,11,8/3/2015,6/24/2015,40
515,RD-W74,14,8/6/2015,6/22/2015,45
516,DB-L94,40,9/1/2015,6/22/2015,71
517,DB-P53,8,7/31/2015,6/25/2015,36
518,RD-S84,11,8/3/2015,6/26/2015,38
519,RD-T99,2,7/25/2015,6/16/2015,39
520,RD-U46,11,8/3/2015,6/25/2015,39
